item,clinical_recall_all,clinical_recall_symptoms,clinical_recall_medications,clinical_recall_labs,overall_token_f1,overall_rouge_l_f1,assessment_alignment_score,plan_alignment_score,judge_overall_grade,judge_error,n_omissions,n_additions,n_additions_supported_by_transcript,n_additions_unsupported_by_transcript,n_additions_unknown_by_transcript,n_omissions_unsupported_by_transcript
item_0022,0.2,0.25,1.0,0.0,0.5787572936060142,0.4682202459143272,0.09090909090909091,0.6371681415929203,C,,12,1,0,2,0,0
item_0023,0.3225806451612903,0.3076923076923077,0.0,0.0,0.6731957022754569,0.5619651051155377,0.5142857142857143,0.5925925925925926,D,,15,2,7,0,0,0
item_0024,0.5,0.5,1.0,0.2,0.7320498720587596,0.665528146742568,0.6511627906976744,0.7032967032967032,B,,1,1,2,0,0,1
item_0025,0.5625,0.8333333333333334,0.5,0.36363636363636365,0.6803901271974333,0.5667743900811011,0.3684210526315789,0.7011494252873562,C,,15,4,7,1,0,3
item_0026,0.3333333333333333,0.2222222222222222,0.0,0.5454545454545454,0.6403150362846799,0.483865710528681,0.3773584905660377,0.7533632286995516,F,,23,10,20,0,0,2
item_0027,0.18518518518518517,0.6,0.0,0.0,0.7899245529726053,0.7383631615676542,0.6071428571428571,0.83248730964467,C,,1,3,4,2,0,0
item_0028,0.5925925925925926,0.7857142857142857,0.0,0.42857142857142855,0.713227660079234,0.5470299642912592,0.4528301886792453,0.6909090909090909,C,,13,7,14,0,0,0
item_0029,0.4827586206896552,0.75,1.0,0.5555555555555556,0.632054871392771,0.5602549739616061,0.37499999999999994,0.6986301369863014,C,,17,4,8,0,0,2
item_0030,0.7777777777777778,1.0,0.6666666666666666,0.7142857142857143,0.7016499442586399,0.6177419782400412,0.3666666666666667,0.782608695652174,B,,4,10,18,2,0,0
item_0031,0.5714285714285714,0.38461538461538464,0.0,0.3333333333333333,0.8038765254845657,0.7028184567189163,0.7857142857142856,0.7000000000000001,D,,8,6,9,3,0,1
item_0032,0.4090909090909091,0.16666666666666666,0.0,0.3333333333333333,0.6248510504955856,0.5128465408932696,0.22499999999999998,0.5909090909090908,D,,14,7,15,0,0,0
item_0033,0.2857142857142857,0.375,0.25,0.0,0.7911923946819936,0.6754780860524594,0.8387096774193549,0.7476635514018691,B,,2,4,4,4,0,0
item_0034,0.4166666666666667,0.16666666666666666,0.5,0.42857142857142855,0.578869014478794,0.443036019755097,0.2597402597402597,0.6952789699570815,D,,9,7,15,0,0,0
item_0035,0.43478260869565216,0.8,0.0,0.0,0.006611570247933884,0.004092071611253197,0.0,0.0,B,,6,3,5,0,0,2
item_0036,0.3333333333333333,0.3333333333333333,1.0,0.2727272727272727,0.0050793650793650785,0.0030303030303030303,0.0,0.0,C,,12,3,4,0,0,0
item_0037,0.625,0.6363636363636364,0.75,1.0,0.7166423037275962,0.6244876585643675,0.360655737704918,0.7411764705882353,,"Grading step missing section 'Other'; got ['Subjective', 'Objective', 'Assessment', 'Plan']",,,,,,
item_0038,0.5,0.3333333333333333,1.0,0.6,0.6924671398882621,0.5605804405290129,0.47619047619047616,0.6865671641791044,B,,3,9,18,0,0,0
item_0039,0.5217391304347826,0.4,0.3333333333333333,0.5714285714285714,0.7496487595801098,0.6190570004792555,0.7142857142857144,0.6428571428571429,C,,5,4,4,5,0,2
item_0040,0.35714285714285715,0.0,0.5,0.2222222222222222,0.6625851002803304,0.5497630476915576,0.4347826086956521,0.6601941747572815,,"Grading step missing section 'Other'; got ['Subjective', 'Objective', 'Assessment', 'Plan']",,,,,,
item_0041,0.5333333333333333,0.5,0.0,0.5,0.696117451474769,0.5892751440991404,0.4222222222222222,0.6371681415929203,F,,11,8,7,5,0,1
item_0042,0.29411764705882354,0.3333333333333333,1.0,0.5,0.5995654449990411,0.5311474551531562,0.29411764705882354,0.5567010309278351,C,,5,7,11,0,0,1
item_0043,0.37037037037037035,0.6,0.0,0.23076923076923078,0.7535326086956522,0.6351638655462185,0.4444444444444445,0.8405797101449276,C,,10,9,15,3,0,1
item_0044,0.5172413793103449,0.5384615384615384,0.6666666666666666,0.45454545454545453,0.006015037593984962,0.003547671840354767,0.0,0.0,B,,5,5,12,0,0,1
item_0045,0.2631578947368421,0.25,0.0,0.5555555555555556,0.6426870720145585,0.5570106001677725,0.5555555555555556,0.5373134328358209,C,,12,2,4,0,0,0
item_0046,0.40625,0.6666666666666666,0.0,0.1,0.635126257950803,0.5622539201733182,0.17142857142857143,0.7155963302752293,B,,6,2,5,1,0,0
item_0047,0.5,0.8,0.5,0.5,0.8001369916784424,0.7361476551617396,1.0,0.6321243523316061,C,,6,2,4,0,0,0
item_0048,0.2,0.5454545454545454,0.0,0.1111111111111111,0.5874571521668296,0.47701101642070254,0.19354838709677416,0.7070707070707072,F,,8,5,5,2,0,1
item_0049,0.42857142857142855,0.6,0.5,0.1111111111111111,0.6391373623624588,0.45422311467158794,0.11538461538461539,0.6798418972332017,F,,7,4,5,0,0,0
