item,iterations,n_claims,n_unsupported,unsupported_rate,accuracy_score,completeness_score,communication_quality_score,context_awareness_score,instruction_following_score,overall_score
item_0147,1,21,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0148,1,20,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0149,4,25,0,0.0,0.93,0.92,1.0,0.9,1.0,0.92
item_0150,1,19,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0151,1,24,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0152,2,17,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0153,1,24,0,0.0,0.92,0.94,0.5,0.83,1.0,0.88
item_0154,1,22,0,0.0,0.92,0.88,0.5,0.75,1.0,0.83
item_0155,1,15,0,0.0,0.93,0.93,0.5,0.88,0.75,0.84
item_0156,1,16,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0157,1,17,0,0.0,0.93,0.93,0.5,0.88,0.75,0.84
item_0158,1,17,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0159,1,22,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0160,1,22,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0161,1,20,0,0.0,0.93,0.88,0.5,0.75,1.0,0.84
item_0162,1,17,0,0.0,0.93,0.88,1.0,0.75,0.75,0.84
item_0163,1,12,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0164,1,20,0,0.0,0.92,0.82,0.5,0.75,1.0,0.85
item_0165,2,15,0,0.0,0.93,0.88,1.0,0.88,0.75,0.86
item_0166,1,18,0,0.0,0.92,0.88,0.5,0.88,0.75,0.83
item_0167,1,25,0,0.0,0.92,0.94,0.5,0.93,1.0,0.92
item_0168,3,0,0,,0.92,0.93,0.5,0.88,0.75,0.86
item_0169,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0170,3,24,0,0.0,0.92,0.88,0.5,0.75,0.75,0.81
item_0171,1,23,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0172,1,17,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0173,1,22,0,0.0,0.92,0.87,0.5,0.7,1.0,0.83
item_0174,1,14,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0175,1,20,0,0.0,0.93,0.93,0.5,0.88,0.75,0.88
item_0176,1,24,0,0.0,0.93,0.94,0.8,0.83,0.75,0.86
item_0177,1,23,0,0.0,0.92,0.88,0.5,0.8,0.75,0.83
item_0178,1,23,0,0.0,0.93,0.83,0.8,0.75,1.0,0.84
item_0179,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0180,2,19,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0181,1,17,0,0.0,0.87,0.83,0.5,0.75,1.0,0.82
item_0182,3,21,0,0.0,0.93,0.83,0.5,0.75,0.75,0.81
item_0183,1,23,0,0.0,0.93,0.87,1.0,0.8,0.75,0.84
item_0184,2,17,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0185,1,25,0,0.0,0.92,0.88,0.8,0.83,1.0,0.86
item_0186,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0187,1,25,0,0.0,0.93,0.88,0.9,0.88,0.75,0.86
item_0188,1,21,0,0.0,0.94,0.96,0.5,0.86,1.0,0.89
item_0189,1,25,0,0.0,0.92,0.88,0.8,0.9,1.0,0.89
item_0190,2,17,0,0.0,0.92,0.88,0.5,0.75,1.0,0.85
item_0191,1,22,0,0.0,0.93,0.88,0.5,0.67,1.0,0.81
item_0192,1,25,0,0.0,0.9583,0.9333,0.5,0.875,0.75,0.8481
item_0193,1,23,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0194,1,18,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0195,1,12,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0196,1,9,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0197,1,12,0,0.0,0.93,0.93,0.5,0.88,0.75,0.84
item_0198,1,13,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0199,1,13,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
