item,iterations,n_claims,n_unsupported,unsupported_rate,accuracy_score,completeness_score,communication_quality_score,context_awareness_score,instruction_following_score,overall_score
item_0073,1,19,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0074,1,21,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0075,1,14,0,0.0,0.92,0.87,0.5,0.88,0.75,0.84
item_0076,1,11,0,0.0,0.93,0.87,0.5,0.75,0.75,0.81
item_0077,2,18,0,0.0,0.93,0.83,0.8,0.7,1.0,0.82
item_0078,1,14,0,0.0,0.93,0.93,0.5,0.88,1.0,0.89
item_0079,2,15,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0080,1,21,0,0.0,0.93,0.96,0.5,0.9,0.75,0.88
item_0081,1,21,0,0.0,0.92,0.87,0.8,0.8,1.0,0.86
item_0082,1,25,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0083,4,18,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0084,4,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0085,1,24,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0086,1,22,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0087,1,17,0,0.0,0.93,0.93,0.5,0.88,0.75,0.88
item_0088,1,19,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0089,1,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0090,1,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0091,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0092,1,18,0,0.0,0.93,0.88,0.5,0.89,0.75,0.86
item_0093,2,23,0,0.0,0.92,0.93,0.5,0.88,1.0,0.89
item_0094,1,13,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0095,1,24,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0096,2,22,0,0.0,0.92,0.94,0.5,0.83,1.0,0.86
item_0097,1,23,0,0.0,0.93,0.83,0.5,0.75,1.0,0.81
item_0098,1,25,0,0.0,0.93,0.87,0.5,0.71,0.75,0.82
item_0099,1,21,0,0.0,0.92,0.94,0.5,0.88,0.75,0.86
item_0100,1,23,0,0.0,0.92,0.88,0.9,0.88,0.75,0.86
item_0101,1,25,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0102,1,21,0,0.0,0.93,0.88,1.0,0.83,1.0,0.89
item_0103,1,17,0,0.0,0.93,0.92,0.5,0.88,1.0,0.89
item_0104,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0105,2,12,0,0.0,0.92,0.88,0.8,0.78,0.75,0.82
item_0106,3,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0107,1,25,0,0.0,0.92,0.87,0.5,0.88,1.0,0.89
item_0108,1,13,0,0.0,0.93,0.88,0.5,0.89,0.75,0.86
item_0109,1,24,0,0.0,0.92,0.87,0.8,0.83,0.75,0.84
item_0110,2,23,0,0.0,0.93,0.93,0.5,0.88,0.75,0.84
item_0111,1,15,0,0.0,0.93,0.88,1.0,0.88,0.75,0.86
item_0112,1,25,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0113,1,18,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0114,1,16,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0115,1,18,0,0.0,0.9583,0.9333,0.5,0.875,1.0,0.8875
item_0116,1,13,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0117,1,23,0,0.0,0.92,0.87,0.5,0.88,0.75,0.84
item_0118,1,25,0,0.0,0.92,0.94,0.5,0.88,1.0,0.89
item_0119,2,13,0,0.0,0.92,0.88,0.9,0.83,0.75,0.84
item_0120,4,21,0,0.0,0.93,0.83,0.5,0.75,1.0,0.88
item_0121,1,11,0,0.0,0.86,0.88,0.9,0.88,0.75,0.84
item_0122,1,19,0,0.0,0.92,0.88,1.0,0.88,0.75,0.86
item_0123,1,24,0,0.0,0.92,0.88,0.5,0.88,1.0,0.86
item_0124,1,0,0,,0.93,0.83,0.5,0.75,1.0,0.84
item_0125,1,15,0,0.0,0.93,0.83,0.5,0.75,1.0,0.82
item_0126,1,16,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0127,2,18,0,0.0,0.9583,0.9333,0.5,0.8333,1.0,0.8833
item_0128,1,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0129,1,24,0,0.0,0.93,0.94,0.8,0.89,1.0,0.92
item_0130,1,21,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0131,1,15,0,0.0,0.92,0.93,0.5,0.88,0.75,0.88
item_0132,1,22,0,0.0,0.92,0.85,0.5,0.75,1.0,0.83
item_0133,1,24,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0134,1,23,0,0.0,0.94,0.96,0.5,0.9,1.0,0.92
item_0135,1,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0136,1,20,0,0.0,0.92,0.93,0.5,0.88,1.0,0.89
item_0137,1,25,0,0.0,0.93,0.88,0.5,0.67,0.75,0.82
item_0138,1,21,0,0.0,0.93,0.93,0.5,0.88,0.75,0.88
item_0139,2,19,0,0.0,0.93,0.93,0.5,0.88,0.75,0.88
item_0140,1,17,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0141,1,16,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0142,1,20,0,0.0,0.92,0.82,0.5,0.75,0.75,0.81
item_0143,1,25,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0144,1,20,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0145,1,23,0,0.0,0.93,0.93,0.8,0.89,1.0,0.9
item_0146,1,22,0,0.0,0.93,0.83,0.5,0.83,0.75,0.81
item_0147,1,24,0,0.0,0.92,0.87,0.5,0.8,0.75,0.83
item_0148,1,21,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0149,3,23,0,0.0,0.92,0.94,0.95,0.93,1.0,0.93
item_0150,1,21,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0151,1,14,0,0.0,0.92,0.88,0.5,0.88,1.0,0.89
item_0152,1,22,0,0.0,0.92,0.88,0.5,0.83,1.0,0.86
item_0153,1,20,0,0.0,0.92,0.87,0.5,0.8,0.75,0.82
item_0154,1,25,0,0.0,0.92,0.88,0.5,0.67,0.75,0.82
item_0155,1,14,0,0.0,0.93,0.88,0.5,0.75,1.0,0.84
item_0156,1,12,0,0.0,0.92,0.88,0.5,0.67,0.75,0.81
item_0157,1,19,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0158,1,16,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0159,2,22,0,0.0,0.92,0.88,0.5,0.88,1.0,0.86
item_0160,2,20,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0161,2,17,0,0.0,0.93,0.88,0.5,0.88,1.0,0.89
item_0162,4,13,0,0.0,0.93,0.87,0.8,0.78,0.75,0.82
item_0163,3,25,0,0.0,0.92,0.88,0.5,0.88,0.75,0.83
item_0164,1,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0165,1,22,0,0.0,0.93,0.88,0.5,0.67,0.75,0.82
item_0166,1,18,0,0.0,0.92,0.88,0.9,0.83,0.75,0.85
item_0167,3,24,0,0.0,0.92,0.765,0.5,0.857,0.75,0.815
item_0168,1,25,0,0.0,0.92,0.88,0.5,0.88,0.75,0.84
item_0169,4,19,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0170,1,24,0,0.0,0.92,0.87,0.5,0.71,0.75,0.82
item_0171,1,18,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0172,1,14,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0173,1,28,0,0.0,0.92,0.87,0.5,0.86,0.75,0.83
item_0174,2,24,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0175,2,12,0,0.0,0.92,0.88,0.9,0.83,0.75,0.85
item_0176,1,25,0,0.0,0.9583,0.9412,0.5,0.8333,1.0,0.8833
item_0177,1,19,0,0.0,0.92,0.88,0.5,0.88,0.75,0.84
item_0178,1,22,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0179,1,12,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0180,3,18,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0181,1,19,0,0.0,0.93,0.88,0.5,0.89,0.75,0.86
item_0182,2,15,0,0.0,0.93,0.83,0.5,0.75,1.0,0.82
item_0183,1,23,0,0.0,0.92,0.94,0.5,0.83,1.0,0.86
item_0184,1,23,0,0.0,0.93,0.93,0.5,0.88,0.75,0.84
item_0185,1,23,0,0.0,0.92,0.87,0.9,0.75,1.0,0.85
item_0186,1,24,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0187,1,18,0,0.0,0.93,0.88,0.5,0.88,0.75,0.84
item_0188,3,18,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0189,1,24,0,0.0,0.94,0.92,0.8,0.9,1.0,0.92
item_0190,1,17,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0191,1,14,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0192,1,24,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0193,1,16,0,0.0,0.93,0.88,0.5,0.67,0.75,0.81
item_0194,1,14,0,0.0,0.93,0.88,0.8,0.78,1.0,0.84
item_0195,2,14,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0196,1,15,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0197,1,12,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0198,1,16,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0199,1,13,0,0.0,0.93,0.94,0.8,0.89,1.0,0.92
